PRODUCT_ID,DATE,PRICE,QUANTITY
1,2023-01-01,44.59,100
2,2023-01-01,87.7,100
3,2023-01-01,32.34,100
4,2023-01-01,55.88,100
5,2023-01-01,80.61,100
6,2023-01-01,94.66,100
7,2023-01-01,67.96,100
8,2023-01-01,87.75,100
9,2023-01-01,55.36,100
10,2023-01-01,15.96,100
11,2023-01-01,21.95,100
12,2023-01-01,96.3,100
13,2023-01-01,51.67,100
14,2023-01-01,91.68,100
15,2023-01-01,84.5,100
16,2023-01-01,109.85,100
17,2023-01-01,49.46,100
18,2023-01-01,73.31,100
19,2023-01-01,10.88,100
20,2023-01-01,22.5,100
1,2023-01-02,44.59,90
2,2023-01-02,112.11,98
3,2023-01-02,31.95,99
4,2023-01-02,49.21,97
5,2023-01-02,87.94,92
6,2023-01-02,91.8,97
7,2023-01-02,64.19,94
8,2023-01-02,87.48,99
9,2023-01-02,59.58,98
10,2023-01-02,16.02,95
11,2023-01-02,23.77,90
12,2023-01-02,96.41,98
13,2023-01-02,58.8,98
14,2023-01-02,91.68,90
15,2023-01-02,84.5,91
16,2023-01-02,97.08,97
17,2023-01-02,45.68,93
18,2023-01-02,84.2,92
19,2023-01-02,12.33,91
20,2023-01-02,22.5,91
1,2023-01-03,44.59,82
2,2023-01-03,99.24,88
3,2023-01-03,28.18,92
4,2023-01-03,49.21,89
5,2023-01-03,85.43,84
6,2023-01-03,82.84,88
7,2023-01-03,64.19,90
8,2023-01-03,87.75,89
9,2023-01-03,59.58,93
10,2023-01-03,16.02,88
11,2023-01-03,23.88,88
12,2023-01-03,96.3,95
13,2023-01-03,58.8,91
14,2023-01-03,82.21,81
15,2023-01-03,84.5,88
16,2023-01-03,92.08,94
17,2023-01-03,49.46,88
18,2023-01-03,80.64,84
19,2023-01-03,12.33,83
20,2023-01-03,20.8,86
1,2023-01-04,44.59,80
2,2023-01-04,99.24,78
3,2023-01-04,32.34,90
4,2023-01-04,48.46,84
5,2023-01-04,74.61,77
6,2023-01-04,96.5,83
7,2023-01-04,62.59,82
8,2023-01-04,93.36,86
9,2023-01-04,55.17,91
10,2023-01-04,14.52,86
11,2023-01-04,21.09,87
12,2023-01-04,96.3,94
13,2023-01-04,58.8,86
14,2023-01-04,82.44,79
15,2023-01-04,84.5,78
16,2023-01-04,101.92,93
17,2023-01-04,47.58,84
18,2023-01-04,85.38,82
19,2023-01-04,12.33,80
20,2023-01-04,22.5,83
1,2023-01-05,44.59,77
2,2023-01-05,99.24,74
3,2023-01-05,33.39,81
4,2023-01-05,48.02,81
5,2023-01-05,76.89,74
6,2023-01-05,88.93,76
7,2023-01-05,64.19,74
8,2023-01-05,84.44,81
9,2023-01-05,58.5,83
10,2023-01-05,16.02,82
11,2023-01-05,21.81,78
12,2023-01-05,90.27,87
13,2023-01-05,58.8,83
14,2023-01-05,87.0,78
15,2023-01-05,72.95,71
16,2023-01-05,85.07,84
17,2023-01-05,49.46,75
18,2023-01-05,80.64,77
19,2023-01-05,13.06,71
20,2023-01-05,22.5,77
1,2023-01-06,39.73,76
2,2023-01-06,102.66,73
3,2023-01-06,36.48,74
4,2023-01-06,45.98,75
5,2023-01-06,76.89,66
